13-May,335,345,4470,0,384,4,31,0,51,132,9,12,20,38,3,16,3,125,5,14,35,5,0,21,23,28,10,406,115,3,9,35,0,11,13,251,13
14-May,335,358,4834,0,384,4,31,0,51,97,14,13,20,47,3,16,3,124,5,9,35,5,1,20,23,29,10,410,123,3,11,51,0,11,13,251,12
15-May,153,377,5114,0,378,4,30,0,47,104,18,12,20,54,3,0,3,109,5,9,36,0,1,22,18,35,10,429,126,3,20,72,0,11,13,176,14
16-May,34,389,5017,0,164,4,25,0,64,81,20,11,18,56,4,0,3,109,5,9,39,0,10,26,18,35,0,348,133,3,28,116,0,10,12,153,13
17-May,25,306,5220,0,157,3,23,0,56,78,20,27,20,51,5,0,3,106,5,9,35,9,14,24,10,35,8,363,110,3,40,129,0,5,11,30,16
18-May,27,344,5460,0,55,1,25,0,61,95,27,28,20,53,5,0,3,106,5,15,37,14,14,30,10,44,9,382,114,3,55,141,0,5,11,34,17
19-May,10,365,5691,0,42,1,19,0,67,87,32,34,2,53,6,0,3,48,5,17,38,14,14,28,9,45,7,380,114,2,60,155,0,6,7,31,18
20-May,10,423,5345,1,38,1,20,1,54,98,28,27,3,62,6,,2,48,7,17,26,14,13,27,10,47,7,395,116,2,82,163,,2,7,38,24
21-May,7,416,5681,0,19,1,25,0,62,106,25,25,3,80,6,0,2,26,8,17,28,14,16,33,14,51,4,413,109,0,104,164,0,2,6,26,29
22-May,7,455,5523,0,15,0,26,1,60,98,24,25,4,111,5,0,2,6,11,25,29,14,16,32,14,49,4,424,98,3,108,177,0,6,9,24,52
23-May,7,481,5865,0,15,0,26,1,60,108,21,25,3,111,3,0,1,5,12,25,29,17,3,33,13,50,4,426,103,3,111,187,0,6,5,24,53
24-May,8,518,5653,0,17,0,22,1,75,132,23,25,3,114,3,0,1,4,13,28,25,17,4,33,16,50,4,452,107,5,119,182,0,9,5,24,54
25-May,8,568,5911,0,12,1,22,1,67,138,26,14,4,111,3,0,1,4,13,33,28,23,4,33,17,52,4,429,148,6,129,197,0,9,5,24,71
26-May,9,589,6056,0,21,3,21,1,60,132,30,13,6,109,0,0,1,4,13,33,20,33,3,32,17,43,5,312,152,6,128,175,0,9,8,22,70
27-May,7,482,6307,0,22,3,21,1,134,129,31,13,5,99,1,0,1,4,14,34,20,33,5,31,16,31,4,345,171,9,114,154,0,11,6,25,69
28-May,7,519,6351,1,26,3,25,1,124,144,31,7,6,94,3,0,0,0,15,28,17,67,4,29,15,29,4,339,210,9,110,174,0,10,8,35,69
29-May,10,545,6353,0,28,3,17,2,132,155,32,4,6,94,3,0,0,0,14,27,15,62,4,24,10,23,4,332,244,9,93,177,0,11,8,34,70
30-May,10,499,6539,0,32,3,17,2,134,164,35,5,7,99,8,0,0,1,9,40,13,99,4,25,12,21,5,327,252,13,87,168,0,15,8,28,63
31-May,10,555,6781,0,40,3,16,1,135,173,34,5,8,102,9,0,0,2,10,45,14,123,5,23,12,21,4,334,273,14,89,140,0,18,8,26,65
01-Jun,15,596,7450,5,40,3,21,1,125,164,34,5,8,100,9,4,1,3,8,33,18,139,6,23,16,15,5,359,283,13,79,105,0,18,12,34,66
02-Jun,11,634,7880,5,41,3,22,3,114,177,36,5,8,92,12,4,0,3,8,32,15,152,7,22,17,14,8,398,296,13,126,89,0,25,12,24,65
